n,m1,tipoCurto,Raf1,Rbf1,Rcf1,Raf2,Rbf2,Rcf2,IA_T2F,IB_T2F,IC_T2F
49,0.4,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
50,0.4,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
51,0.5,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.4267,45.0084,45.6097
52,0.5,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.6315,4.84949,41.8351
53,0.5,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.91935,43.0628,36.3333
54,0.5,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.5799,36.9446,7.64081
55,0.5,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
56,0.5,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.435,4.8566,41.6393
57,0.5,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.3983,4.85674,41.5998
58,0.5,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.3983,4.85674,41.5998
59,0.5,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
60,0.5,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
61,0.6,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.3844,44.993,45.5863
62,0.6,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.6088,4.85086,41.8129
63,0.6,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.91711,43.0392,36.3137
64,0.6,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.5516,36.9195,7.64087
65,0.6,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
66,0.6,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.435,4.8566,41.6393
67,0.6,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.3983,4.85674,41.5998
68,0.6,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.3983,4.85674,41.5998
69,0.6,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
70,0.6,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
71,0.7,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.3421,44.9776,45.5629
72,0.7,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.5861,4.85222,41.7908
73,0.7,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.91487,43.0156,36.294
74,0.7,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.5232,36.8944,7.64093
75,0.7,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
76,0.7,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.435,4.8566,41.6393
77,0.7,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.3983,4.85674,41.5998
78,0.7,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.3983,4.85674,41.5998
79,0.7,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
80,0.7,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
81,0.8,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.2999,44.9622,45.5395
82,0.8,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.5635,4.85359,41.7687
83,0.8,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.91264,42.9921,36.2744
84,0.8,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.4949,36.8693,7.641
85,0.8,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
86,0.8,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.435,4.8566,41.6393
87,0.8,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.3983,4.85674,41.5998
88,0.8,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.3983,4.85674,41.5998
89,0.8,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
90,0.8,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
91,0.9,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.2578,44.9468,45.5161
92,0.9,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.5409,4.85495,41.7466
93,0.9,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.91041,42.9686,36.2548
94,0.9,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.4666,36.8442,7.64106
95,0.9,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
96,0.9,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.435,4.8566,41.6393
97,0.9,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.3983,4.85674,41.5998
98,0.9,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.3983,4.85674,41.5998
99,0.9,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
100,0.9,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
101,0.999,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.21604,44.93147,45.49301
102,0.999,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.51846,4.856298,41.72473
103,0.999,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.908201,42.94532,36.23536
104,0.999,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.43859,36.81938,7.641123
105,0.999,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.969922,7.938757
106,0.999,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.435,4.856596,41.63925
107,0.999,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.39826,4.856744,41.59984
108,0.999,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.39826,4.856744,41.59984
109,0.999,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.969922,7.938757
110,0.999,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.969922,7.938757
