n,m1,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_A1_Consumidor,Tempo_A1_Consumidor,Tempo_Abertura_A1_Consumidor,I_B1_Consumidor,Tempo_B1_Consumidor,Tempo_Abertura_B1_Consumidor,I_A2_Consumidor,Tempo_A2_Consumidor,Tempo_Abertura_A2_Consumidor,I_B2_Consumidor,Tempo_B2_Consumidor,Tempo_Abertura_B2_Consumidor,IA_Sistema,IB_Sistema,IC_Sistema
15,0.1,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
16,0.1,6,39.9158,Inf,Inf,35.992,Inf,Inf,40.9968,0.511591,0.599,41.8433,0.462966,0.55,36.9534,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206704,0.0826753,0.0620048
17,0.1,7,15.8696,Inf,Inf,22.9545,Inf,Inf,38.6087,0.591775,0.679,31.4009,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
18,0.1,8,23.0669,Inf,Inf,38.6426,0.590515,0.678,15.7914,Inf,Inf,0,Inf,Inf,35.5963,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658923,0.319102,0.33982
19,0.1,9,39.9158,0.545801,0.633,16.2524,Inf,Inf,23.7941,Inf,Inf,36.7638,Inf,Inf,32.3968,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
20,0.1,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
21,0.2,1,40.0975,Inf,Inf,36.0393,Inf,Inf,41.2284,0.504666,0.592,42.0965,0.456077,0.544,37.0292,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206707,0.082638,0.0619673
22,0.2,2,15.9447,Inf,Inf,23.0272,Inf,Inf,38.7591,0.586206,0.674,31.5317,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87366,3.75766,1.88401
23,0.2,3,23.1501,Inf,Inf,38.7906,0.58505,0.673,15.8537,Inf,Inf,0,Inf,Inf,35.7302,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.65892,0.319126,0.339794
24,0.2,4,40.0973,0.53983,0.627,16.3314,Inf,Inf,23.8924,Inf,Inf,36.9259,Inf,Inf,32.5482,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19402,2.20436,4.39837
25,0.2,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648535,3.74984,4.39837
26,0.2,6,39.9158,Inf,Inf,35.992,Inf,Inf,40.9968,0.511591,0.599,41.8433,0.462966,0.55,36.9534,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206704,0.0826753,0.0620048
27,0.2,7,15.8696,Inf,Inf,22.9545,Inf,Inf,38.6087,0.591775,0.679,31.4009,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
28,0.2,8,23.0669,Inf,Inf,38.6426,0.590515,0.678,15.7914,Inf,Inf,0,Inf,Inf,35.5963,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658923,0.319102,0.33982
29,0.2,9,39.9158,0.545801,0.633,16.2524,Inf,Inf,23.7941,Inf,Inf,36.7638,Inf,Inf,32.3968,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
30,0.2,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648535,3.74984,4.39837
31,0.3,1,40.0839,Inf,Inf,36.0358,Inf,Inf,41.2111,0.505178,0.593,42.0776,0.456586,0.544,37.0235,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206707,0.0826379,0.0619672
32,0.3,2,15.9389,Inf,Inf,23.0219,Inf,Inf,38.7479,0.586619,0.674,31.5219,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87366,3.75766,1.88401
33,0.3,3,23.1438,Inf,Inf,38.7796,0.585453,0.673,15.8492,Inf,Inf,0,Inf,Inf,35.7201,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658921,0.319126,0.339795
34,0.3,4,40.0839,0.540268,0.628,16.3256,Inf,Inf,23.8852,Inf,Inf,36.9139,Inf,Inf,32.537,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
35,0.3,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
36,0.3,6,39.9158,Inf,Inf,35.992,Inf,Inf,40.9968,0.511591,0.599,41.8433,0.462966,0.55,36.9534,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206704,0.0826753,0.0620048
37,0.3,7,15.8696,Inf,Inf,22.9545,Inf,Inf,38.6087,0.591775,0.679,31.4009,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
38,0.3,8,23.0669,Inf,Inf,38.6426,0.590515,0.678,15.7914,Inf,Inf,0,Inf,Inf,35.5963,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658923,0.319102,0.33982
39,0.3,9,39.9158,0.545801,0.633,16.2524,Inf,Inf,23.7941,Inf,Inf,36.7638,Inf,Inf,32.3968,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
40,0.3,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
41,0.4,1,40.0705,Inf,Inf,36.0322,Inf,Inf,41.1939,0.505688,0.593,42.0589,0.457091,0.545,37.018,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206707,0.0826379,0.0619672
42,0.4,2,15.9332,Inf,Inf,23.0166,Inf,Inf,38.7367,0.587032,0.675,31.512,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87366,3.75766,1.88401
43,0.4,3,23.1375,Inf,Inf,38.7686,0.585857,0.673,15.8448,Inf,Inf,0,Inf,Inf,35.7101,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658921,0.319126,0.339795
44,0.4,4,40.0705,0.540706,0.628,16.3198,Inf,Inf,23.8779,Inf,Inf,36.9019,Inf,Inf,32.5259,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
45,0.4,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
46,0.4,6,39.9158,Inf,Inf,35.992,Inf,Inf,40.9968,0.511591,0.599,41.8433,0.462966,0.55,36.9534,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206704,0.0826753,0.0620048
47,0.4,7,15.8696,Inf,Inf,22.9545,Inf,Inf,38.6087,0.591775,0.679,31.4009,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
48,0.4,8,23.0669,Inf,Inf,38.6426,0.590515,0.678,15.7914,Inf,Inf,0,Inf,Inf,35.5963,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658923,0.319102,0.33982
49,0.4,9,39.9158,0.545801,0.633,16.2524,Inf,Inf,23.7941,Inf,Inf,36.7638,Inf,Inf,32.3968,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
50,0.4,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
51,0.5,1,40.057,Inf,Inf,36.0287,Inf,Inf,41.1766,0.506202,0.594,42.04,0.457601,0.545,37.0123,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206707,0.082638,0.0619673
52,0.5,2,15.9275,Inf,Inf,23.0114,Inf,Inf,38.7255,0.587445,0.675,31.5022,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87366,3.75766,1.88401
53,0.5,3,23.1311,Inf,Inf,38.7576,0.586261,0.674,15.8403,Inf,Inf,0,Inf,Inf,35.7001,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658921,0.319126,0.339795
54,0.5,4,40.0571,0.541145,0.629,16.3139,Inf,Inf,23.8706,Inf,Inf,36.89,Inf,Inf,32.5147,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
55,0.5,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
56,0.5,6,39.9158,Inf,Inf,35.992,Inf,Inf,40.9968,0.511591,0.599,41.8433,0.462966,0.55,36.9534,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206704,0.0826753,0.0620048
57,0.5,7,15.8696,Inf,Inf,22.9545,Inf,Inf,38.6087,0.591775,0.679,31.4009,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
58,0.5,8,23.0669,Inf,Inf,38.6426,0.590515,0.678,15.7914,Inf,Inf,0,Inf,Inf,35.5963,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658923,0.319102,0.33982
59,0.5,9,39.9158,0.545801,0.633,16.2524,Inf,Inf,23.7941,Inf,Inf,36.7638,Inf,Inf,32.3968,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
60,0.5,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
61,0.6,1,40.0437,Inf,Inf,36.0252,Inf,Inf,41.1596,0.506709,0.594,42.0214,0.458103,0.546,37.0068,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206706,0.0826757,0.062005
62,0.6,2,15.9217,Inf,Inf,23.0061,Inf,Inf,38.7143,0.587859,0.675,31.4924,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
63,0.6,3,23.1248,Inf,Inf,38.7466,0.586665,0.674,15.8358,Inf,Inf,0,Inf,Inf,35.6901,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658921,0.319126,0.339795
64,0.6,4,40.0437,0.541584,0.629,16.3081,Inf,Inf,23.8634,Inf,Inf,36.878,Inf,Inf,32.5035,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
65,0.6,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
66,0.6,6,39.9158,Inf,Inf,35.992,Inf,Inf,40.9968,0.511591,0.599,41.8433,0.462966,0.55,36.9534,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206704,0.0826753,0.0620048
67,0.6,7,15.8696,Inf,Inf,22.9545,Inf,Inf,38.6087,0.591775,0.679,31.4009,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
68,0.6,8,23.0669,Inf,Inf,38.6426,0.590515,0.678,15.7914,Inf,Inf,0,Inf,Inf,35.5963,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658923,0.319102,0.33982
69,0.6,9,39.9158,0.545801,0.633,16.2524,Inf,Inf,23.7941,Inf,Inf,36.7638,Inf,Inf,32.3968,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
70,0.6,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
71,0.7,1,40.0302,Inf,Inf,36.0216,Inf,Inf,41.1425,0.50722,0.595,42.0027,0.45861,0.546,37.0011,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206706,0.0826755,0.0620049
72,0.7,2,15.916,Inf,Inf,23.0008,Inf,Inf,38.7031,0.588272,0.676,31.4825,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
73,0.7,3,23.1185,Inf,Inf,38.7357,0.58707,0.675,15.8313,Inf,Inf,0,Inf,Inf,35.6801,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658922,0.319102,0.339819
74,0.7,4,40.0303,0.542023,0.63,16.3023,Inf,Inf,23.8561,Inf,Inf,36.866,Inf,Inf,32.4923,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
75,0.7,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
76,0.7,6,39.9158,Inf,Inf,35.992,Inf,Inf,40.9968,0.511591,0.599,41.8433,0.462966,0.55,36.9534,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206704,0.0826753,0.0620048
77,0.7,7,15.8696,Inf,Inf,22.9545,Inf,Inf,38.6087,0.591775,0.679,31.4009,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
78,0.7,8,23.0669,Inf,Inf,38.6426,0.590515,0.678,15.7914,Inf,Inf,0,Inf,Inf,35.5963,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658923,0.319102,0.33982
79,0.7,9,39.9158,0.545801,0.633,16.2524,Inf,Inf,23.7941,Inf,Inf,36.7638,Inf,Inf,32.3968,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
80,0.7,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
81,0.8,1,40.0169,Inf,Inf,36.0181,Inf,Inf,41.1253,0.507732,0.595,41.984,0.459117,0.547,36.9956,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206706,0.0826756,0.062005
82,0.8,2,15.9103,Inf,Inf,22.9955,Inf,Inf,38.6919,0.588686,0.676,31.4727,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
83,0.8,3,23.1122,Inf,Inf,38.7247,0.587474,0.675,15.8268,Inf,Inf,0,Inf,Inf,35.6701,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658922,0.319102,0.33982
84,0.8,4,40.0169,0.542463,0.63,16.2964,Inf,Inf,23.8489,Inf,Inf,36.8541,Inf,Inf,32.4812,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
85,0.8,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648535,3.74984,4.39837
86,0.8,6,39.9158,Inf,Inf,35.992,Inf,Inf,40.9968,0.511591,0.599,41.8433,0.462966,0.55,36.9534,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206704,0.0826753,0.0620048
87,0.8,7,15.8696,Inf,Inf,22.9545,Inf,Inf,38.6087,0.591775,0.679,31.4009,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
88,0.8,8,23.0669,Inf,Inf,38.6426,0.590515,0.678,15.7914,Inf,Inf,0,Inf,Inf,35.5963,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658923,0.319102,0.33982
89,0.8,9,39.9158,0.545801,0.633,16.2524,Inf,Inf,23.7941,Inf,Inf,36.7638,Inf,Inf,32.3968,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
90,0.8,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648535,3.74984,4.39837
91,0.9,1,40.0035,Inf,Inf,36.0145,Inf,Inf,41.1082,0.508244,0.596,41.9654,0.459625,0.547,36.99,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206706,0.0826755,0.062005
92,0.9,2,15.9046,Inf,Inf,22.9903,Inf,Inf,38.6807,0.5891,0.677,31.4629,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
93,0.9,3,23.1059,Inf,Inf,38.7137,0.587879,0.675,15.8224,Inf,Inf,0,Inf,Inf,35.6601,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658922,0.319102,0.33982
94,0.9,4,40.0035,0.542903,0.63,16.2906,Inf,Inf,23.8416,Inf,Inf,36.8421,Inf,Inf,32.47,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39838
95,0.9,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
96,0.9,6,39.9158,Inf,Inf,35.992,Inf,Inf,40.9968,0.511591,0.599,41.8433,0.462966,0.55,36.9534,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.0206704,0.0826753,0.0620048
97,0.9,7,15.8696,Inf,Inf,22.9545,Inf,Inf,38.6087,0.591775,0.679,31.4009,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.87365,3.75766,1.88401
98,0.9,8,23.0669,Inf,Inf,38.6426,0.590515,0.678,15.7914,Inf,Inf,0,Inf,Inf,35.5963,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.658923,0.319102,0.33982
99,0.9,9,39.9158,0.545801,0.633,16.2524,Inf,Inf,23.7941,Inf,Inf,36.7638,Inf,Inf,32.3968,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.19401,2.20436,4.39837
100,0.9,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.648534,3.74984,4.39837
101,0.999,1,39.99027,Inf,Inf,36.011,Inf,Inf,41.0912,0.5087512,0.596,41.94687,0.4601286,0.548,36.98439,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.02067053,0.08267549,0.06200496
102,0.999,2,15.89889,Inf,Inf,22.98506,Inf,Inf,38.66963,0.5895107,0.677,31.4532,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.873655,3.757662,1.884007
103,0.999,3,23.09963,Inf,Inf,38.70286,0.5882802,0.676,15.81792,Inf,Inf,0,Inf,Inf,35.65016,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.6589221,0.3191023,0.3398199
104,0.999,4,39.99027,0.5433398,0.631,16.28482,Inf,Inf,23.83446,Inf,Inf,36.83028,Inf,Inf,32.45893,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.194011,2.204364,4.398375
105,0.999,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.6485335,3.74984,4.398374
