n,m2,tipoCurto,Raf1,Rbf1,Rcf1,Raf2,Rbf2,Rcf2,IA_T2F,IB_T2F,IC_T2F
97,0.999,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.4102,4.8567,41.6123
98,0.999,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.4102,4.8567,41.6123
99,0.999,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
100,0.999,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
101,0.999,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.21562,44.93131,45.49278
102,0.999,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.51824,4.856312,41.72451
103,0.999,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.908178,42.94509,36.23516
104,0.999,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.4383,36.81912,7.641124
105,0.999,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.969922,7.938757
106,0.999,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.43508,4.856596,41.63934
107,0.999,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.39838,4.856744,41.59996
108,0.999,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.39838,4.856744,41.59996
109,0.999,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.969922,7.938757
110,0.999,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.969922,7.938757
