n,distancia,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
205,10,1030,8.8534827,13.756567,21.093751,6.2265088,0.26548731,0.2412679
206,10,1035,8.8371258,13.757473,21.061354,6.1967115,0.26548794,0.24126846
207,10,1040,8.821046,13.758372,21.02919,6.1671977,0.26548857,0.24126902
208,10,1045,8.80524,13.759264,20.997255,6.1379634,0.26548919,0.24126958
209,10,1050,8.7897045,13.76015,20.965549,6.1090045,0.26548981,0.24127013
210,10,1055,8.7744363,13.761029,20.934068,6.0803173,0.26549042,0.24127067
211,10,1060,8.7594319,13.761903,20.902811,6.0518979,0.26549103,0.24127121
212,10,1065,8.7446884,13.762769,20.871775,6.0237426,0.26549163,0.24127175
213,10,1070,8.7302023,13.76363,20.840958,5.9958477,0.26549222,0.24127228
214,10,1075,8.7159707,13.764484,20.810357,5.9682097,0.26549281,0.2412728
215,10,1080,8.7019904,13.765332,20.779971,5.9408249,0.2654934,0.24127332
216,10,1085,8.6882583,13.766174,20.749798,5.9136901,0.26549398,0.24127384
217,10,1090,8.6747714,13.767011,20.719835,5.8868017,0.26549455,0.24127435
218,10,1095,8.6615267,13.767841,20.690081,5.8601564,0.26549512,0.24127485
219,10,1100,8.6485211,13.768665,20.660533,5.8337509,0.26549568,0.24127536
220,10,1105,8.6357518,13.769484,20.63119,5.807582,0.26549624,0.24127585
221,10,1110,8.6232158,13.770297,20.602049,5.7816466,0.2654968,0.24127634
222,10,1115,8.6109103,13.771104,20.573108,5.7559415,0.26549735,0.24127683
223,10,1120,8.5988324,13.771905,20.544366,5.7304637,0.26549789,0.24127732
224,10,1125,8.5869792,13.772701,20.515821,5.7052102,0.26549843,0.2412778
225,10,1130,8.575348,13.773492,20.48747,5.6801781,0.26549897,0.24127827
226,10,1135,8.563936,13.774277,20.459313,5.6553644,0.2654995,0.24127874
227,10,1140,8.5527406,13.775057,20.431346,5.6307663,0.26550002,0.24127921
228,10,1145,8.5417589,13.775831,20.403569,5.606381,0.26550055,0.24127967
229,10,1150,8.5309884,13.7766,20.375979,5.5822057,0.26550106,0.24128013
230,10,1155,8.5204263,13.777364,20.348575,5.5582379,0.26550158,0.24128058
231,10,1160,8.5100701,13.778122,20.321355,5.5344747,0.26550208,0.24128103
232,10,1165,8.4999172,13.778876,20.294317,5.5109136,0.26550259,0.24128148
233,10,1170,8.4899651,13.779624,20.26746,5.4875521,0.26550309,0.24128192
234,10,1175,8.4802112,13.780367,20.240782,5.4643876,0.26550358,0.24128236
235,10,1180,8.470653,13.781106,20.21428,5.4414176,0.26550408,0.2412828
236,10,1185,8.4612881,13.781839,20.187955,5.4186397,0.26550456,0.24128323
237,10,1190,8.452114,13.782568,20.161803,5.3960515,0.26550505,0.24128366
238,10,1195,8.4431282,13.783291,20.135824,5.3736507,0.26550553,0.24128408
239,10,1200,8.4343285,13.78401,20.110015,5.3514348,0.265506,0.2412845
