n,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
39,39,55.2022,8.71581e-06,55.2022,52.8552,1.62101,1.38801
40,40,54.9725,8.71473e-06,54.9725,52.4717,1.62045,1.38846
41,41,54.7444,8.71367e-06,54.7444,52.0931,1.61991,1.38891
42,42,54.5179,8.71262e-06,54.5179,51.7192,1.61938,1.38934
43,43,54.2929,8.71158e-06,54.2929,51.35,1.61886,1.38978
44,44,54.0694,8.71055e-06,54.0694,50.9854,1.61835,1.39021
45,45,53.8473,8.70954e-06,53.8473,50.6253,1.61785,1.39063
46,46,53.6268,8.70853e-06,53.6268,50.2697,1.61736,1.39105
47,47,53.4078,8.70753e-06,53.4078,49.9184,1.61688,1.39146
48,48,53.1903,8.70655e-06,53.1903,49.5715,1.61642,1.39187
49,49,52.9742,8.70557e-06,52.9742,49.2289,1.61596,1.39228
50,50,52.7596,8.70461e-06,52.7596,48.8904,1.61551,1.39267
51,51,52.5464,8.70366e-06,52.5464,48.5561,1.61507,1.39307
52,52,52.3347,8.70271e-06,52.3347,48.2258,1.61465,1.39346
53,53,52.1244,8.70178e-06,52.1244,47.8996,1.61423,1.39384
54,54,51.9155,8.70085e-06,51.9155,47.5772,1.61381,1.39422
55,55,51.708,8.69994e-06,51.708,47.2588,1.61341,1.3946
56,56,51.5018,8.69904e-06,51.5018,46.9441,1.61302,1.39497
57,57,51.2971,8.69814e-06,51.2971,46.6332,1.61263,1.39534
58,58,51.0938,8.69725e-06,51.0938,46.3261,1.61225,1.3957
59,59,50.8918,8.69638e-06,50.8918,46.0225,1.61188,1.39606
60,60,50.6911,8.69551e-06,50.6911,45.7225,1.61152,1.39642
61,61,50.4918,8.69465e-06,50.4918,45.4261,1.61116,1.39677
62,62,50.2938,8.6938e-06,50.2938,45.1332,1.61081,1.39711
63,63,50.0972,8.69296e-06,50.0972,44.8436,1.61047,1.39746
64,64,49.9019,8.69213e-06,49.9019,44.5574,1.61014,1.39779
65,65,49.7078,8.69131e-06,49.7078,44.2746,1.60981,1.39813
66,66,49.5151,8.69049e-06,49.5151,43.995,1.60949,1.39846
67,67,49.3236,8.68968e-06,49.3236,43.7186,1.60917,1.39878
68,68,49.1334,8.68889e-06,49.1334,43.4454,1.60886,1.39911
69,69,48.9444,8.6881e-06,48.9444,43.1753,1.60856,1.39943
70,70,48.7568,8.68732e-06,48.7568,42.9083,1.60826,1.39974
71,71,48.5703,8.68654e-06,48.5703,42.6443,1.60797,1.40005
72,72,48.3851,8.68578e-06,48.3851,42.3833,1.60769,1.40036
73,73,48.2011,8.68502e-06,48.2011,42.1252,1.60741,1.40067
74,74,48.0183,8.68427e-06,48.0183,41.87,1.60713,1.40097
75,75,47.8367,8.68353e-06,47.8367,41.6176,1.60687,1.40127
76,76,47.6563,8.68279e-06,47.6563,41.368,1.6066,1.40156
77,77,47.4771,8.68206e-06,47.4771,41.1212,1.60634,1.40185
78,78,47.2991,8.68134e-06,47.2991,40.8771,1.60609,1.40214
79,79,47.1222,8.68063e-06,47.1222,40.6357,1.60584,1.40243
80,80,46.9465,8.67992e-06,46.9465,40.3969,1.6056,1.40271
81,81,46.7719,8.71283e-06,46.7719,40.1607,1.60536,1.40299
82,82,46.5984,8.67581e-06,46.5984,39.9271,1.60512,1.40326
83,83,46.4261,8.67785e-06,46.4261,39.696,1.60489,1.40353
84,84,46.2549,8.67717e-06,46.2549,39.4674,1.60466,1.4038
85,85,46.0849,8.6765e-06,46.0848,39.2412,1.60444,1.40407
86,86,45.9159,8.67584e-06,45.9159,39.0175,1.60422,1.40433
87,87,45.748,8.6586e-06,45.748,38.7961,1.60401,1.40459
88,88,45.5812,8.64317e-06,45.5812,38.577,1.6038,1.40485
89,89,45.4154,8.67388e-06,45.4154,38.3603,1.60359,1.40511
90,90,45.2507,8.64212e-06,45.2507,38.1458,1.60339,1.40536
91,91,45.0871,8.67261e-06,45.0871,37.9336,1.60319,1.40561
92,92,44.9246,8.67199e-06,44.9246,37.7235,1.603,1.40585
93,93,44.763,8.67137e-06,44.763,37.5157,1.60281,1.4061
94,94,44.6025,8.65684e-06,44.6025,37.31,1.60262,1.40634
95,95,44.4431,8.68547e-06,44.4431,37.1064,1.60243,1.40658
96,96,44.2846,8.66567e-06,44.2846,36.9049,1.60225,1.40682
97,97,44.1271,8.66895e-06,44.1271,36.7054,1.60207,1.40705
98,98,43.9707,8.66836e-06,43.9707,36.508,1.6019,1.40728
99,99,43.8152,8.66778e-06,43.8152,36.3125,1.60173,1.40751
100,100,43.6607,8.6672e-06,43.6607,36.1191,1.60156,1.40774
101,101,43.50723,8.666625e-06,43.50722,35.92754,1.601391,1.40796
102,102,43.35468,8.666058e-06,43.35468,35.73792,1.601228,1.408182
103,103,43.20309,8.665496e-06,43.20309,35.55018,1.601068,1.408402
104,104,43.05246,8.664939e-06,43.05246,35.36431,1.600911,1.408619
105,105,42.90276,8.664388e-06,42.90276,35.18027,1.600756,1.408834
106,106,42.75401,8.663843e-06,42.754,34.99804,1.600604,1.409047
107,107,42.60617,8.663302e-06,42.60617,34.81759,1.600455,1.409258
108,108,42.45926,8.644543e-06,42.45926,34.63889,1.600308,1.409466
109,109,42.31327,8.662236e-06,42.31326,34.46194,1.600164,1.409673
110,110,42.16817,8.661711e-06,42.16817,34.28669,1.600022,1.409877
111,111,42.02398,8.661191e-06,42.02398,34.11313,1.599883,1.41008
112,112,41.88067,8.660675e-06,41.88067,33.94124,1.599746,1.41028
113,113,41.73825,8.660165e-06,41.73825,33.77099,1.599611,1.410478
114,114,41.59671,8.659659e-06,41.5967,33.60235,1.599479,1.410674
115,115,41.45603,8.633117e-06,41.45603,33.43532,1.599348,1.410869
116,116,41.31622,8.658662e-06,41.31621,33.26986,1.59922,1.411061
117,117,41.17726,8.6644e-06,41.17726,33.10596,1.599095,1.411252
118,118,41.03915,8.642637e-06,41.03915,32.94359,1.598971,1.41144
119,119,40.90188,8.664325e-06,40.90188,32.78274,1.598849,1.411627
120,120,40.76544,8.656723e-06,40.76544,32.62338,1.598729,1.411812
121,121,40.62984,8.656249e-06,40.62984,32.46549,1.598612,1.411995
122,122,40.49505,8.631464e-06,40.49505,32.30906,1.598496,1.412177
123,123,40.36108,8.655315e-06,40.36108,32.15407,1.598382,1.412357
124,124,40.22792,8.654854e-06,40.22792,32.00049,1.59827,1.412535
125,125,40.09556,8.654398e-06,40.09556,31.84832,1.59816,1.412711
126,126,39.96399,8.653946e-06,39.96399,31.69752,1.598051,1.412885
127,127,39.83322,8.653498e-06,39.83322,31.54809,1.597945,1.413058
128,128,39.70322,8.64112e-06,39.70322,31.4,1.59784,1.41323
129,129,39.57401,8.640985e-06,39.574,31.25324,1.597736,1.413399
130,130,39.44556,8.652223e-06,39.44556,31.1078,1.597635,1.413567
131,131,39.31788,8.618978e-06,39.31787,30.96364,1.597535,1.413734
132,132,39.19095,8.652065e-06,39.19095,30.82077,1.597437,1.413899
133,133,39.06478,8.650894e-06,39.06477,30.67915,1.59734,1.414062
134,134,38.93935,8.650473e-06,38.93935,30.53879,1.597244,1.414224
135,135,38.81466,8.663808e-06,38.81466,30.39965,1.597151,1.414384
136,136,38.6907,8.649644e-06,38.6907,30.26173,1.597058,1.414543
137,137,38.56748,8.649235e-06,38.56748,30.12501,1.596968,1.414701
138,138,38.44497,8.648829e-06,38.44497,29.98947,1.596878,1.414857
139,139,38.32319,8.648427e-06,38.32318,29.8551,1.59679,1.415011
140,140,38.20211,8.648029e-06,38.20211,29.72189,1.596703,1.415165
141,141,38.08174,8.647634e-06,38.08174,29.58981,1.596618,1.415316
142,142,37.96207,8.639417e-06,37.96207,29.45887,1.596534,1.415467
143,143,37.84309,8.646855e-06,37.84309,29.32904,1.596451,1.415616
144,144,37.7248,8.61622e-06,37.7248,29.20031,1.59637,1.415764
145,145,37.6072,8.646089e-06,37.6072,29.07266,1.59629,1.41591
146,146,37.49027,8.645712e-06,37.49027,28.94609,1.596211,1.416055
147,147,37.37402,8.645337e-06,37.37402,28.82058,1.596133,1.416199
148,148,37.25843,8.644966e-06,37.25843,28.69612,1.596057,1.416342
149,149,37.14351,8.626839e-06,37.14351,28.57269,1.595981,1.416483
150,150,37.02924,8.615142e-06,37.02924,28.45028,1.595907,1.416623
151,151,36.91562,8.643872e-06,36.91562,28.32889,1.595834,1.416762
152,152,36.80266,8.643513e-06,36.80265,28.20849,1.595762,1.4169
153,153,36.69033,8.643158e-06,36.69033,28.08908,1.595691,1.417036
154,154,36.57864,8.642806e-06,36.57864,27.97064,1.595621,1.417172
155,155,36.46758,8.663144e-06,36.46758,27.85317,1.595552,1.417306
156,156,36.35715,8.64211e-06,36.35715,27.73665,1.595485,1.417439
157,157,36.24734,8.650345e-06,36.24734,27.62107,1.595418,1.417571
158,158,36.13815,8.641426e-06,36.13815,27.50642,1.595352,1.417701
159,159,36.02957,8.641089e-06,36.02957,27.39269,1.595287,1.417831
160,160,35.9216,8.640754e-06,35.92159,27.27987,1.595223,1.41796
161,161,35.81423,8.662916e-06,35.81423,27.16795,1.59516,1.418087
162,162,35.70746,8.662876e-06,35.70746,27.05691,1.595098,1.418214
163,163,35.60128,8.639767e-06,35.60128,26.94675,1.595037,1.418339
164,164,35.49569,8.625e-06,35.49569,26.83746,1.594977,1.418463
165,165,35.39069,8.639123e-06,35.39069,26.72903,1.594918,1.418586
166,166,35.28627,8.638805e-06,35.28627,26.62144,1.594859,1.418709
167,167,35.18242,8.637051e-06,35.18242,26.51469,1.594802,1.41883
168,168,35.07915,8.624565e-06,35.07915,26.40878,1.594745,1.41895
169,169,34.97644,8.636885e-06,34.97644,26.30368,1.594689,1.419069
170,170,34.8743,8.624355e-06,34.87429,26.19939,1.594634,1.419188
171,171,34.77271,8.637254e-06,34.77271,26.0959,1.59458,1.419305
172,172,34.67168,8.636951e-06,34.67168,25.99321,1.594526,1.419421
173,173,34.5712,8.636651e-06,34.57119,25.89129,1.594473,1.419537
174,174,34.47126,8.636353e-06,34.47126,25.79016,1.594421,1.419651
175,175,34.37187,8.636058e-06,34.37186,25.68979,1.59437,1.419765
176,176,34.27301,8.635766e-06,34.27301,25.59018,1.594319,1.419878
177,177,34.17469,8.635475e-06,34.17469,25.49131,1.594269,1.41999
178,178,34.0769,8.635187e-06,34.07689,25.39319,1.59422,1.4201
179,179,33.97963,8.634902e-06,33.97963,25.2958,1.594172,1.42021
180,180,33.88288,8.634618e-06,33.88288,25.19914,1.594124,1.42032
181,181,33.78666,8.635932e-06,33.78665,25.1032,1.594077,1.420428
182,182,33.69094,8.610775e-06,33.69094,25.00796,1.59403,1.420535
183,183,33.59574,8.633782e-06,33.59574,24.91343,1.593985,1.420642
184,184,33.50104,8.633508e-06,33.50104,24.81959,1.593939,1.420748
185,185,33.40685,8.633236e-06,33.40684,24.72644,1.593895,1.420853
186,186,33.31315,8.632966e-06,33.31315,24.63397,1.593851,1.420957
187,187,33.21995,8.632698e-06,33.21995,24.54217,1.593808,1.42106
188,188,33.12724,8.632433e-06,33.12724,24.45104,1.593765,1.421163
189,189,33.03502,8.635331e-06,33.03502,24.36056,1.593723,1.421265
190,190,32.94329,8.631908e-06,32.94328,24.27074,1.593681,1.421366
191,191,32.85203,8.631648e-06,32.85203,24.18156,1.59364,1.421466
192,192,32.76125,8.631391e-06,32.76125,24.09302,1.5936,1.421565
193,193,32.67095,8.631136e-06,32.67094,24.00512,1.59356,1.421664
194,194,32.58111,8.630883e-06,32.58111,23.91783,1.593521,1.421762
195,195,32.49174,8.630631e-06,32.49174,23.83117,1.593482,1.421859
196,196,32.40284,8.628368e-06,32.40284,23.74512,1.593444,1.421956
197,197,32.3144,8.630135e-06,32.31439,23.65967,1.593406,1.422052
198,198,32.22641,8.629889e-06,32.22641,23.57482,1.593369,1.422147
199,199,32.13887,8.629646e-06,32.13887,23.49057,1.593332,1.422241
200,200,32.05179,8.629404e-06,32.05179,23.4069,1.593296,1.422335
201,201,31.96515,8.629164e-06,31.96515,23.32381,1.59326,1.422428
202,202,31.87896,8.628926e-06,31.87896,23.2413,1.593225,1.42252
203,203,31.79321,8.62869e-06,31.7932,23.15936,1.59319,1.422612
204,204,31.70789,8.634261e-06,31.70789,23.07798,1.593156,1.422703
205,205,31.62301,8.640741e-06,31.62301,22.99717,1.593122,1.422793
206,206,31.53856,8.634122e-06,31.53855,22.9169,1.593089,1.422883
207,207,31.45453,8.627764e-06,31.45453,22.83718,1.593056,1.422972
208,208,31.37094,8.627537e-06,31.37093,22.758,1.593023,1.42306
209,209,31.28776,8.620961e-06,31.28776,22.67936,1.592991,1.423148
210,210,31.205,8.633848e-06,31.205,22.60125,1.59296,1.423235
211,211,31.12266,8.620813e-06,31.12266,22.52367,1.592928,1.423321
212,212,31.04073,8.626646e-06,31.04073,22.44661,1.592898,1.423407
213,213,30.95921,8.626427e-06,30.95921,22.37006,1.592867,1.423493
214,214,30.8781,8.62621e-06,30.8781,22.29402,1.592837,1.423577
215,215,30.79739,8.625994e-06,30.79739,22.21849,1.592808,1.423661
216,216,30.71708,8.625781e-06,30.71708,22.14346,1.592778,1.423745
217,217,30.63717,8.626852e-06,30.63717,22.06892,1.59275,1.423828
218,218,30.55766,8.626784e-06,30.55766,21.99488,1.592721,1.42391
219,219,30.47854,8.625149e-06,30.47854,21.92132,1.592693,1.423992
220,220,30.39981,8.624941e-06,30.39981,21.84824,1.592665,1.424073
221,221,30.32147,8.624735e-06,30.32147,21.77564,1.592638,1.424154
222,222,30.24351,8.624531e-06,30.24351,21.70351,1.592611,1.424234
223,223,30.16594,8.619966e-06,30.16593,21.63185,1.592584,1.424313
224,224,30.08874,8.619898e-06,30.08874,21.56066,1.592558,1.424392
225,225,30.01192,8.623927e-06,30.01192,21.48992,1.592532,1.424471
226,226,29.93548,8.623728e-06,29.93547,21.41963,1.592506,1.424549
227,227,29.8594,8.623531e-06,29.8594,21.3498,1.592481,1.424626
228,228,29.7837,8.632651e-06,29.78369,21.28042,1.592456,1.424703
229,229,29.70836,8.632586e-06,29.70835,21.21147,1.592431,1.424779
230,230,29.63338,8.625985e-06,29.63338,21.14296,1.592407,1.424855
231,231,29.55877,8.639042e-06,29.55877,21.07489,1.592383,1.42493
232,232,29.48451,8.622567e-06,29.48451,21.00725,1.592359,1.425005
233,233,29.41062,8.622379e-06,29.41061,20.94003,1.592336,1.42508
234,234,29.33707,8.622192e-06,29.33707,20.87324,1.592313,1.425153
235,235,29.26388,8.619175e-06,29.26388,20.80686,1.59229,1.425227
236,236,29.19104,8.612671e-06,29.19103,20.7409,1.592267,1.4253
237,237,29.11854,8.625537e-06,29.11854,20.67534,1.592245,1.425372
238,238,29.04639,8.618985e-06,29.04639,20.6102,1.592223,1.425444
239,239,28.97458,8.612482e-06,28.97458,20.54545,1.592202,1.425515
240,240,28.90311,8.621096e-06,28.90311,20.48111,1.59218,1.425586
241,241,28.83198,8.625285e-06,28.83197,20.41716,1.592159,1.425657
242,242,28.76118,8.612297e-06,28.76118,20.35361,1.592138,1.425727
243,243,28.69071,8.625161e-06,28.69071,20.29044,1.592118,1.425797
244,244,28.62058,8.618614e-06,28.62058,20.22766,1.592097,1.425866
245,245,28.55077,8.620218e-06,28.55077,20.16526,1.592077,1.425934
246,246,28.4813,8.620046e-06,28.48129,20.10323,1.592057,1.426003
247,247,28.41214,8.619876e-06,28.41214,20.04159,1.592038,1.426071
248,248,28.34331,8.619706e-06,28.3433,19.98031,1.592018,1.426138
249,249,28.27479,8.624792e-06,28.27479,19.9194,1.591999,1.426205
250,250,28.2066,8.624732e-06,28.2066,19.85886,1.59198,1.426271
251,251,28.13872,8.619205e-06,28.13872,19.79868,1.591962,1.426338
252,252,28.07115,8.61904e-06,28.07115,19.73886,1.591943,1.426403
253,253,28.0039,8.618877e-06,28.0039,19.67939,1.591925,1.426469
254,254,27.93695,8.618714e-06,27.93695,19.62027,1.591907,1.426533
255,255,27.87031,8.637504e-06,27.87031,19.56151,1.59189,1.426598
256,256,27.80398,8.630884e-06,27.80398,19.50309,1.591872,1.426662
257,257,27.73795,8.618233e-06,27.73795,19.44501,1.591855,1.426726
258,258,27.67222,8.618075e-06,27.67222,19.38728,1.591838,1.426789
259,259,27.60679,8.617918e-06,27.60679,19.32988,1.591821,1.426852
260,260,27.54166,8.617762e-06,27.54166,19.27282,1.591804,1.426915
261,261,27.47683,8.617607e-06,27.47682,19.21609,1.591788,1.426977
262,262,27.41228,8.624018e-06,27.41228,19.15968,1.591772,1.427038
263,263,27.34803,8.617503e-06,27.34803,19.10361,1.591756,1.4271
264,264,27.28407,8.617149e-06,27.28407,19.04785,1.59174,1.427161
265,265,27.2204,8.616998e-06,27.22039,18.99242,1.591724,1.427221
266,266,27.15701,8.616849e-06,27.15701,18.9373,1.591709,1.427282
267,267,27.09391,8.6167e-06,27.0939,18.8825,1.591694,1.427342
268,268,27.03109,8.616552e-06,27.03108,18.82802,1.591679,1.427401
269,269,26.96854,8.610768e-06,26.96854,18.77384,1.591664,1.42746
270,270,26.90628,8.604355e-06,26.90628,18.71997,1.591649,1.427519
271,271,26.8443,8.616115e-06,26.84429,18.6664,1.591635,1.427578
272,272,26.78259,8.615971e-06,26.78258,18.61314,1.59162,1.427636
273,273,26.72115,8.615828e-06,26.72115,18.56017,1.591606,1.427694
274,274,26.65999,8.615686e-06,26.65998,18.50751,1.591592,1.427751
275,275,26.59909,8.615545e-06,26.59909,18.45513,1.591578,1.427808
276,276,26.53846,8.610407e-06,26.53846,18.40305,1.591565,1.427865
277,277,26.4781,8.604012e-06,26.4781,18.35126,1.591551,1.427921
278,278,26.41801,8.623105e-06,26.418,18.29976,1.591538,1.427977
279,279,26.35817,8.614991e-06,26.35817,18.24854,1.591525,1.428033
280,280,26.2986,8.610206e-06,26.2986,18.19761,1.591512,1.428089
281,281,26.23929,8.614719e-06,26.23929,18.14695,1.591499,1.428144
282,282,26.18024,8.614585e-06,26.18023,18.09658,1.591486,1.428199
283,283,26.12144,8.616424e-06,26.12144,18.04648,1.591474,1.428253
284,284,26.0629,8.614318e-06,26.0629,17.99665,1.591461,1.428307
285,285,26.00461,8.603639e-06,26.00461,17.9471,1.591449,1.428361
286,286,25.94657,8.614055e-06,25.94657,17.89781,1.591437,1.428415
287,287,25.88879,8.613925e-06,25.88878,17.8488,1.591425,1.428468
288,288,25.83125,8.613795e-06,25.83125,17.80004,1.591414,1.428521
289,289,25.77396,8.609769e-06,25.77395,17.75155,1.591402,1.428574
290,290,25.71691,8.609722e-06,25.71691,17.70332,1.59139,1.428626
291,291,25.66011,8.613412e-06,25.66011,17.65535,1.591379,1.428678
292,292,25.60355,8.613286e-06,25.60355,17.60764,1.591368,1.42873
293,293,25.54723,8.61316e-06,25.54723,17.56018,1.591357,1.428781
294,294,25.49116,8.613036e-06,25.49115,17.51298,1.591346,1.428833
295,295,25.43532,8.612912e-06,25.43531,17.46602,1.591335,1.428884
296,296,25.37971,8.612789e-06,25.37971,17.41932,1.591324,1.428934
297,297,25.32434,8.612667e-06,25.32434,17.37286,1.591314,1.428984
298,298,25.26921,8.612546e-06,25.26921,17.32664,1.591304,1.429035
299,299,25.21431,8.612425e-06,25.2143,17.28067,1.591293,1.429084
300,300,25.15964,8.612305e-06,25.15963,17.23494,1.591283,1.429134
301,301,25.10519,8.612186e-06,25.10519,17.18945,1.591273,1.429183
302,302,25.05098,8.612068e-06,25.05098,17.1442,1.591263,1.429232
303,303,24.99699,8.609124e-06,24.99699,17.09918,1.591253,1.429281
304,304,24.94323,8.621702e-06,24.94323,17.0544,1.591244,1.429329
305,305,24.88969,8.609035e-06,24.88969,17.00985,1.591234,1.429377
306,306,24.83638,8.611601e-06,24.83637,16.96552,1.591225,1.429425
307,307,24.78328,8.611487e-06,24.78328,16.92143,1.591215,1.429473
308,308,24.73041,8.611373e-06,24.7304,16.87757,1.591206,1.42952
309,309,24.67775,8.627783e-06,24.67775,16.83392,1.591197,1.429567
310,310,24.62531,8.608816e-06,24.62531,16.79051,1.591188,1.429614
311,311,24.57309,8.611035e-06,24.57309,16.74731,1.591179,1.429661
312,312,24.52108,8.610924e-06,24.52108,16.70434,1.59117,1.429707
313,313,24.46929,8.610813e-06,24.46929,16.66158,1.591162,1.429753
314,314,24.41771,8.610703e-06,24.4177,16.61904,1.591153,1.429799
315,315,24.36634,8.610594e-06,24.36633,16.57671,1.591145,1.429845
316,316,24.31517,8.596163e-06,24.31517,16.5346,1.591136,1.42989
317,317,24.26422,8.602307e-06,24.26422,16.4927,1.591128,1.429935
318,318,24.21347,8.602269e-06,24.21347,16.45101,1.59112,1.42998
319,319,24.16293,8.610164e-06,24.16293,16.40953,1.591112,1.430025
320,320,24.1126,8.610058e-06,24.1126,16.36825,1.591104,1.43007
321,321,24.06247,8.609953e-06,24.06246,16.32718,1.591096,1.430114
322,322,24.01254,8.583737e-06,24.01253,16.28632,1.591088,1.430158
323,323,23.96281,8.602082e-06,23.96281,16.24566,1.591081,1.430202
324,324,23.91328,8.602045e-06,23.91328,16.2052,1.591073,1.430245
325,325,23.86395,8.608185e-06,23.86395,16.16494,1.591066,1.430288
326,326,23.81482,8.609436e-06,23.81482,16.12488,1.591058,1.430331
327,327,23.76588,8.609334e-06,23.76588,16.08501,1.591051,1.430374
328,328,23.71714,8.608064e-06,23.71714,16.04534,1.591044,1.430417
329,329,23.6686,8.595733e-06,23.66859,16.00587,1.591037,1.430459
330,330,23.62025,8.595701e-06,23.62024,15.96658,1.59103,1.430502
331,331,23.57208,8.608934e-06,23.57208,15.92749,1.591023,1.430544
332,332,23.52411,8.608836e-06,23.52411,15.88859,1.591016,1.430585
333,333,23.47633,8.608738e-06,23.47633,15.84987,1.591009,1.430627
334,334,23.42874,8.60864e-06,23.42874,15.81135,1.591002,1.430668
335,335,23.38134,8.608544e-06,23.38134,15.77301,1.590996,1.430709
336,336,23.33412,8.608447e-06,23.33412,15.73485,1.590989,1.43075
337,337,23.28709,8.601582e-06,23.28709,15.69688,1.590983,1.430791
338,338,23.24024,8.608257e-06,23.24024,15.65909,1.590976,1.430831
339,339,23.19358,8.608162e-06,23.19357,15.62148,1.59097,1.430872
340,340,23.1471,8.608068e-06,23.14709,15.58404,1.590964,1.430912
341,341,23.10079,8.607975e-06,23.10079,15.54679,1.590958,1.430952
342,342,23.05467,8.607514e-06,23.05467,15.50971,1.590952,1.430992
343,343,23.00873,8.607476e-06,23.00873,15.47281,1.590946,1.431031
344,344,22.96297,8.607698e-06,22.96297,15.43609,1.59094,1.43107
345,345,22.91738,8.607606e-06,22.91738,15.39953,1.590934,1.43111
346,346,22.87197,8.607516e-06,22.87197,15.36315,1.590928,1.431148
347,347,22.82674,8.607325e-06,22.82674,15.32694,1.590922,1.431187
348,348,22.78168,8.607336e-06,22.78168,15.2909,1.590917,1.431226
349,349,22.73679,8.613348e-06,22.73679,15.25503,1.590911,1.431264
350,350,22.69208,8.613306e-06,22.69207,15.21932,1.590906,1.431302
351,351,22.64753,8.60707e-06,22.64753,15.18378,1.5909,1.43134
352,352,22.60316,8.613223e-06,22.60316,15.14841,1.590895,1.431378
353,353,22.55896,8.606895e-06,22.55895,15.1132,1.59089,1.431416
354,354,22.51492,8.606808e-06,22.51492,15.07815,1.590885,1.431453
355,355,22.47105,8.613098e-06,22.47105,15.04326,1.590879,1.43149
356,356,22.42735,8.613057e-06,22.42735,15.00853,1.590874,1.431528
357,357,22.38381,8.606551e-06,22.38381,14.97397,1.590869,1.431564
358,358,22.34044,8.606466e-06,22.34044,14.93956,1.590864,1.431601
359,359,22.29724,8.612934e-06,22.29723,14.90531,1.590859,1.431638
360,360,22.25419,8.606298e-06,22.25419,14.87121,1.590855,1.431674
361,361,22.21131,8.606215e-06,22.21131,14.83727,1.59085,1.43171
362,362,22.16859,8.606132e-06,22.16859,14.80349,1.590845,1.431746
363,363,22.12603,8.606741e-06,22.12602,14.76985,1.59084,1.431782
364,364,22.08363,8.605968e-06,22.08362,14.73637,1.590836,1.431818
365,365,22.04138,8.61269e-06,22.04138,14.70304,1.590831,1.431853
366,366,21.9993,8.600645e-06,21.99929,14.66986,1.590827,1.431889
367,367,21.95737,8.605725e-06,21.95737,14.63683,1.590822,1.431924
368,368,21.9156,8.605645e-06,21.91559,14.60395,1.590818,1.431959
369,369,21.87398,8.605565e-06,21.87397,14.57121,1.590814,1.431994
370,370,21.83251,8.605486e-06,21.83251,14.53862,1.590809,1.432028
371,371,21.7912,8.605407e-06,21.7912,14.50618,1.590805,1.432063
372,372,21.75005,8.605329e-06,21.75004,14.47388,1.590801,1.432097
373,373,21.70904,8.605251e-06,21.70904,14.44172,1.590797,1.432132
374,374,21.66819,8.605173e-06,21.66818,14.4097,1.590793,1.432166
375,375,21.62748,8.605096e-06,21.62748,14.37783,1.590789,1.4322
376,376,21.58693,8.605019e-06,21.58692,14.34609,1.590785,1.432233
